Entity,Code,Day,Training dataset size,Domain
(ensemble): AWD-LSTM-DOC (fin) × 5 (WT2),,2018-08-30,2000000,Language
2-layer-LSTM+Deep-Gradient-Compression,,2017-12-05,929000,Language
3D city reconstruction,,2009-09-29,,Other
4 layer QRNN (h=2500),,2018-03-22,103000000,Language
6-Act Tether,,2021-08-03,,Robotics
6-layer MLP (MNIST),,2010-03-01,60000,Vision
A3C FF hs,,2016-02-04,,Games
ADALINE,,1960-06-30,100,Vision
ADAM (CIFAR-10),,2014-12-22,,Vision
ADAPTIVE NLPM,,2008-12-08,14000000,Language
ADM,,2021-05-11,1281167,Image generation
AFM-on-device,,2024-07-29,7588000000000,Language
AFM-server,,2024-07-29,7400000000000,Language
ALBERT,,2019-09-26,3300000000,Language
ALBERT-xxlarge,,2020-02-09,3300000000,Language
ALIGN,,2021-06-11,1600000000,Multiple domains
ALLaM 34B,,2024-05-21,5200000000000,Language
ALLaM 7B,,2024-05-21,1200000000000,Language
ALLaM adapted13B
,,2024-05-21,1200000000000,Language
ALLaM adapted 70B,,2024-05-21,600000000000,Language
ALM 1.0,,2022-11-28,,Language
ALVINN,,1989-12-01,1200,Other
AMDIM,,2019-06-03,,Multiple domains
ANN Eye Tracker,,1993-11-29,2000,Vision
AR-LDM,,2022-11-20,,Image generation
ASE+ACE,,1983-09-01,500000,Robotics
ATLAS,,2020-05-02,,Language
AWD-LSTM,,2017-07-18,,Language
AWD-LSTM + MoS + Partial Shuffled,,2019-06-10,2000000,Language
AWD-LSTM - 3-layer LSTM (tied) + continuous cache pointer (WT2),,2017-08-07,2000000,Language
AWD-LSTM+WT+Cache+IOG (WT2),,2017-09-26,2000000,Language
AWD-LSTM-DRILL + dynamic evaluation† (WT2),,2019-05-14,,Language
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2017)",,2017-11-10,2000000,Language
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2018)",,2018-09-18,,Language
AWD-LSTM-MoS+PDR + dynamic evaluation (WT2),,2018-08-14,,Language
AbLang (heavy sequences),,2022-01-22,2290000001,Biology
AdaBoost.M2 Digit Recognition,,1996-07-03,9709,Vision
AdaRNN,,2014-06-01,6248,Language
Adaptive Input Transformer + RD,,2021-06-28,,Language
Adaptive Inputs + LayerDrop,,2019-09-25,,Language
Adaptive Subgrad,,2011-10-03,,Language
Advantage Learning,,2015-12-15,,Games
Adversarial Joint Adaptation Network (ResNet),,2017-08-17,4652,Vision
Agent57,,2020-03-30,,Games
Agile Soccer Robot,,2023-04-26,,Robotics
AlexNet,,2012-09-30,1200000,Vision
AlexaTM 20B,,2022-08-02,1319000000000,Language
AlphaCode,,2022-02-02,,Language
AlphaFold,,2020-01-15,300000000,Biology
AlphaFold 2,,2020-11-30,530000,Biology
AlphaFold-Multimer,,2021-10-04,147328,Biology
AlphaGeometry,,2024-01-17,,Other
AlphaGo Fan,,2015-10-01,,Games
AlphaGo Lee,,2016-01-27,29400000,Games
AlphaGo Master,,2017-10-19,,Games
AlphaGo Zero,,2017-10-18,5800000000,Games
AlphaMissense,,2023-09-22,9000000,Biology
AlphaProteo,,2024-09-05,,Biology
AlphaStar,,2019-10-30,,Games
AlphaX-1,,2019-10-02,1480000,Vision
AlphaZero,,2017-12-05,700000,Games
AltCLIP_M9,,2022-11-12,,Multiple domains
Amazon Nova Pro,,2024-12-03,,Multiple domains
Amazon Titan,,2023-09-28,4000000000000,Multiple domains
AmoebaNet-A (F=190),,2018-02-05,,Vision
AmoebaNet-A (F=448),,2018-02-05,1280000,Vision
AndesGPT,,2023-11-16,,Language
Ankh_large,,2023-01-16,14000000000,Biology
Aramco Metabrain AI,,2024-03-04,7000000000000,Language
AudioGen,,2023-03-05,230400000000,Other
AudioLM,,2023-07-26,820800000,Other
Aya,,2024-02-12,,Language
BART-large,,2019-10-29,,Language
BASIC-L,,2021-11-19,6700000000,Vision
BASIC-L + Lion,,2023-02-13,,Vision
BEIT-3,,2022-08-22,,Multiple domains
BERT-Large,,2018-10-11,3300000000,Language
BERT-Large-CAS (PTB+WT2+WT103),,2019-04-20,1300000000,Language
BERT-RBP,,2022-04-07,78000001,Biology
BIDAF,,2016-11-05,47160000,Language
BLIP-2 (Q-Former),,2023-01-30,,Multiple domains
BLOOM-176B,,2022-07-11,379000000000,Language
BLOOMZ-176B,,2022-11-03,20000000000,Language
BLSTM for handwriting (1),,2007-09-23,,Vision
BLSTM for handwriting (2),,2007-12-03,,Vision
BLUUMI,,2023-11-03,38000000000,Language
BOXES,,1968-07-01,,Games
BPE,,2015-08-31,37500000,Language
BPL,,2015-12-11,,Image generation
Back-propagation,,1986-10-01,144,Other
Bankruptcy-NN,,1990-06-17,370,Other
Base LM + kNN LM + Continuous Cache,,2019-11-01,103000000,Language
BatchNorm,,2015-06-15,,Vision
Bayesian automated hyperparameter tuning,,2012-12-02,,Other
BellKor 2007,,2009-09-21,100480507,Other
BellKor 2008,,2009-08-01,100480507,Other
BellKor 2009,,2009-08-01,100480507,Other
BiLSTM for Speech,,2005-08-01,36960,Speech
Bidirectional RNN,,1997-11-01,73920,Speech
Big Transfer (BiT-L),,2019-12-24,,Vision
Big Transformer for Back-Translation,,2018-08-28,3390000000,Language
Big-Little Net,,2018-07-10,1280000,Vision
Big-Little Net (speech),,2018-07-10,27360000,Speech
BigBiGAN,,2019-07-04,,Multiple domains
BigChaos 2008,,2008-11-25,100480507,Other
BigChaos OptiBlend,,2009-08-01,100480507,Other
BigGAN-deep 512x512,,2018-09-28,292000000,Image generation
BigSSL,,2021-01-10,42626880000,Speech
Binarized Neural Network (MNIST),,2016-03-17,60000,Vision
BlenderBot 3,,2022-08-10,1300000000,Language
BloombergGPT,,2023-03-30,532000000000,Language
Boosting,,1992-11-30,9709,Vision
Boss (DARPA Urban Challenge),,2008-07-23,,Other
ByT5-XXL,,2021-05-28,,Language
CHAI-1,,2024-10-15,,Biology
CICERO,,2022-11-22,,Games
CLIP (ResNet-50),,2021-01-05,400000000,Multiple domains
CLIP (ViT L/14@336px),,2021-01-05,400000000,Multiple domains
CNN Best Practices,,2003-08-06,50000,Vision
CODEFUSION (Python),,2023-10-26,4390400,Language
CPC v2,,2019-05-22,,Multiple domains
CPM-Large,,2020-12-01,16700000000,Language
CRF-RNN,,2015-02-11,,Vision
CT-MoS (WT2),,2020-12-25,2000000,Language
CTC-Trained LSTM,,2006-06-25,41620,Speech
CTM (CIFAR-10),,2023-10-01,60000,Image generation
CURL,,2020-04-08,,Games
CaLM,,2022-12-19,2304000000,Biology
Cambrian-1-34B,,2024-06-24,,Multiple domains
CamemBERT,,2019-11-10,31900000000,Language
Cancer drug mechanism prediction,,1992-10-16,,Other
